# Constructed from biom file
#OTU ID	2280-046-AD01	2280-047-AD07	2280-048-B001	2280-049-B007	2280-050-B013	2280-051-B019	2280-052-N006	2280-053-N012	2280-054-AD02	2280-055-AD08	2280-056-B002	2280-057-B008	2280-058-B014	2280-059-N001	2280-060-N007	2280-061-N013	2280-062-AD03	2280-063-AD09	2280-064-B003	2280-065-B009	2280-066-B015	2280-067-N002	2280-068-N008	2280-069-N014	2280-070-AD04	2280-071-AD10	2280-072-B004	2280-073-B010	2280-074-B016	2280-075-N003	2280-076-N009	2280-077-AD06	2280-078-AD05	2280-079-AD11	2280-081-B011	2280-082-B017	2280-083-N004	2280-084-N010	2280-085-B006	2280-086-B012	2280-087-B018	2280-088-N005	2280-089-N011
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum	0.0	0.0	79.0	165.0	97.0	89.0	0.0	48.0	0.0	0.0	22.0	58.0	71.0	67.0	71.0	0.0	3.0	0.0	0.0	102.0	96.0	45.0	160.0	72.0	15.0	0.0	111.0	232.0	136.0	30.0	103.0	0.0	63.0	0.0	186.0	107.0	53.0	110.0	102.0	110.0	91.0	39.0	161.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__dgA-11_gut_group	305.0	0.0	0.0	0.0	38.0	0.0	7.0	0.0	0.0	35.0	0.0	0.0	49.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	87.0	0.0	58.0	77.0	0.0	0.0	22.0	42.0	0.0	109.0	0.0	21.0	0.0	60.0	55.0
d__Bacteria;p__Thermotogota;c__Thermotogae;o__Kosmotogales;f__Kosmotogaceae;g__Mesotoga	55.0	35.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	60.0	0.0	0.0	42.0	64.0	77.0	0.0	0.0	0.0	134.0	47.0	0.0	20.0	57.0	0.0	0.0	0.0	49.0	45.0	22.0	43.0	24.0	0.0	0.0	130.0	46.0	0.0	40.0	42.0	123.0	0.0	0.0	34.0	65.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__S50_wastewater-sludge_group	56.0	0.0	120.0	49.0	66.0	78.0	7.0	0.0	0.0	0.0	0.0	45.0	51.0	0.0	32.0	0.0	0.0	0.0	0.0	23.0	38.0	0.0	141.0	0.0	0.0	0.0	51.0	78.0	43.0	0.0	66.0	0.0	0.0	0.0	136.0	52.0	0.0	17.0	38.0	75.0	0.0	36.0	0.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Campbellbacteria;f__Candidatus_Campbellbacteria;g__Candidatus_Campbellbacteria	0.0	98.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	38.0	2.0	0.0	37.0	0.0	0.0	0.0	52.0	13.0	0.0	0.0	26.0	0.0	0.0	55.0	79.0	0.0	0.0	0.0	7.0	0.0	25.0	37.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured	138.0	0.0	123.0	51.0	27.0	32.0	261.0	73.0	72.0	203.0	82.0	179.0	131.0	209.0	74.0	96.0	77.0	31.0	189.0	36.0	54.0	232.0	332.0	150.0	76.0	94.0	50.0	129.0	160.0	257.0	186.0	176.0	73.0	122.0	190.0	66.0	311.0	315.0	36.0	25.0	46.0	244.0	74.0
d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__AUTHM297	32.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	99.0	0.0	55.0	0.0	0.0	0.0	0.0	258.0	86.0	8.0	0.0	0.0	0.0	0.0	135.0	180.0	78.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella	116.0	0.0	0.0	24.0	0.0	0.0	117.0	68.0	70.0	0.0	0.0	42.0	0.0	58.0	91.0	0.0	16.0	0.0	0.0	11.0	0.0	33.0	0.0	0.0	19.0	10.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	15.0	0.0	0.0	84.0	16.0	32.0	0.0	0.0	120.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__	8.0	45.0	27.0	25.0	51.0	52.0	27.0	157.0	585.0	0.0	10.0	0.0	93.0	82.0	41.0	253.0	146.0	2.0	6.0	0.0	52.0	87.0	0.0	211.0	120.0	5.0	90.0	6.0	63.0	72.0	69.0	100.0	28.0	0.0	0.0	42.0	63.0	97.0	28.0	123.0	21.0	63.0	152.0
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter	3.0	66.0	0.0	0.0	2.0	0.0	59.0	0.0	0.0	0.0	20.0	92.0	0.0	47.0	23.0	14.0	0.0	0.0	41.0	0.0	2.0	37.0	42.0	0.0	0.0	2.0	56.0	0.0	85.0	29.0	84.0	0.0	2.0	14.0	0.0	2.0	51.0	0.0	0.0	0.0	15.0	49.0	54.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__uncultured	93.0	2.0	0.0	0.0	18.0	0.0	119.0	4.0	0.0	73.0	0.0	0.0	0.0	68.0	36.0	0.0	0.0	32.0	0.0	0.0	10.0	162.0	84.0	0.0	0.0	2.0	0.0	42.0	0.0	103.0	45.0	69.0	45.0	87.0	24.0	0.0	120.0	0.0	0.0	0.0	0.0	67.0	0.0
