#OTU ID,2280-046-AD01,2280-047-AD07,2280-048-B001,2280-049-B007,2280-050-B013,2280-051-B019,2280-052-N006,2280-053-N012,2280-054-AD02,2280-055-AD08,2280-056-B002,2280-057-B008,2280-058-B014,2280-059-N001,2280-060-N007,2280-061-N013,2280-062-AD03,2280-063-AD09,2280-064-B003,2280-065-B009,2280-066-B015,2280-067-N002,2280-068-N008,2280-069-N014,2280-070-AD04,2280-071-AD10,2280-072-B004,2280-073-B010,2280-074-B016,2280-075-N003,2280-076-N009,2280-077-AD06,2280-078-AD05,2280-079-AD11,2280-081-B011,2280-082-B017,2280-083-N004,2280-084-N010,2280-085-B006,2280-086-B012,2280-087-B018,2280-088-N005,2280-089-N011
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__uncultured,93,2,0,0,18,0,119,4,0,73,0,0,0,68,36,0,0,32,0,0,10,162,84,0,0,2,0,42,0,103,45,69,45,87,24,0,120,0,0,0,0,67,0
d__Bacteria;p__Patescibacteria;c__WWE3;o__WWE3;f__WWE3;g__WWE3,104,0,155,124,0,2,80,3,146,0,170,10,41,74,131,0,0,0,218,0,33,123,199,6,0,0,78,222,0,38,81,0,0,0,36,0,219,91,0,0,18,146,60
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,109,103,92,116,44,96,25,184,66,104,18,44,59,95,27,50,56,84,0,21,26,47,72,18,233,178,15,58,56,0,86,121,56,206,61,49,18,117,124,127,58,27,177
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JGI-0000079-D21,59,0,2,57,144,31,108,59,6,0,2,71,70,174,208,37,0,9,65,67,0,229,62,88,7,20,0,23,48,194,90,14,0,0,124,29,168,62,5,0,44,127,81
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41;g__WCHB1-41,0,86,24,65,75,65,128,35,29,0,96,0,81,91,0,17,23,80,52,0,61,53,100,52,73,30,89,0,35,0,56,101,84,50,33,65,69,46,97,0,0,58,49
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas,49,0,79,120,42,107,97,82,33,2,16,6,58,39,3,0,0,10,0,51,76,0,0,0,0,0,50,67,34,0,43,0,0,88,52,48,0,0,33,55,94,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus,40,0,0,0,6,37,48,66,37,0,0,0,0,71,60,134,0,0,0,0,3,45,0,18,0,0,2,0,0,39,56,0,0,5,41,0,28,0,0,5,18,69,54
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium,98,173,84,14,12,14,162,55,130,86,0,31,0,219,193,64,47,67,5,0,0,183,259,71,106,41,0,35,25,168,174,134,120,63,104,9,202,93,57,33,11,195,55
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alishewanella,0,0,40,0,0,0,0,0,0,30,16,0,0,0,25,57,7,20,32,0,0,55,0,0,0,0,0,8,0,24,0,0,0,0,0,0,24,0,44,0,0,159,0
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured;g__uncultured,19,0,0,0,20,0,0,0,35,0,0,0,0,14,4,0,0,0,0,0,0,54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,58,62,0,17,0,116,0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__LD1-PB3;f__LD1-PB3;g__LD1-PB3,3,10,18,27,0,0,0,0,0,67,0,0,0,101,96,0,0,41,58,0,0,30,66,0,0,86,0,0,0,66,0,0,0,33,13,0,46,5,72,2,0,25,0
